FT_STATUS,UTR_NUMBER,ID,REMARKS,FT_INNITIATED_DATE
Success,N264220004015746,a0j8p000001zoAA,Paid,2022-09-23T11:32:44Z
Success,N264220004015961,a0j8p000001zo0p,Paid,2022-09-23T11:32:44Z
Success,N264220004015860,a0j8p000001zkSV,Paid,2022-09-23T11:32:44Z
Success,N264220004015960,a0j8p000001zaOw,Paid,2022-09-23T11:32:44Z
Success,N264220004016258,a0j8p000001u4rg,Paid,2022-09-23T11:32:44Z
Success,N264220004016302,a0j8p000001yThg,Paid,2022-09-23T11:32:44Z
Success,N264220004015777,a0j8p000001yTZ4,Paid,2022-09-23T11:32:44Z
Success,N264220004016134,a0j8p0000020179,Paid,2022-09-23T11:32:44Z
Success,N264220004015940,a0j8p000001zzpz,Paid,2022-09-23T11:32:44Z
Success,N264220004016279,a0j8p000001zjdM,Paid,2022-09-23T11:32:44Z
Success,N264220004015768,a0j8p000001zqVN,Paid,2022-09-23T11:32:44Z
Success,N264220004016273,a0j8p000001zo72,Paid,2022-09-23T11:32:44Z
Success,N264220004015855,a0j8p000001zqr2,Paid,2022-09-23T11:32:44Z
Success,N264220004015974,a0j8p000001zs9I,Paid,2022-09-23T11:32:44Z
Success,N264220004016215,a0j8p000001zpwn,Paid,2022-09-23T11:32:44Z
Success,N264220004015867,a0j8p000001ziaT,Paid,2022-09-23T11:32:44Z
Success,N264220004015912,a0j8p000001ziro,Paid,2022-09-23T11:32:44Z
Success,N264220004015911,a0j8p000001zf2V,Paid,2022-09-23T11:32:44Z
Success,N264220004016304,a0j8p000001zrYf,Paid,2022-09-23T11:32:44Z
Success,N264220004015856,a0j8p000001zi8k,Paid,2022-09-23T11:32:44Z
Success,N264220004016202,a0j8p000001zf8M,Paid,2022-09-23T11:32:44Z
Success,N264220004016240,a0j8p000001x5Df,Paid,2022-09-23T11:32:44Z
Success,N264220004016098,a0j8p000001xEnr,Paid,2022-09-23T11:32:44Z
Success,N264220004015827,a0j8p000001xExC,Paid,2022-09-23T11:32:44Z
Success,N264220004016137,a0j8p000001zgmB,Paid,2022-09-23T11:32:44Z
Success,N264220004015815,a0j8p000001zZGN,Paid,2022-09-23T11:32:44Z
Success,N264220004015874,a0j8p000001y4jh,Paid,2022-09-23T11:32:44Z
Success,N264220004016097,a0j8p000001y7SP,Paid,2022-09-23T11:32:44Z
Success,N264220004015983,a0j8p00000204hO,Paid,2022-09-23T11:32:44Z
Success,N264220004015811,a0j8p000001zQkj,Paid,2022-09-23T11:32:44Z
Success,N264220004016028,a0j8p000001ybGl,Paid,2022-09-23T11:32:44Z
Success,N264220004015774,a0j8p000001zs9S,Paid,2022-09-23T11:32:44Z
Success,N264220004016174,a0j8p000001yoA5,Paid,2022-09-23T11:32:44Z
Success,N264220004016026,a0j8p000001v9iX,Paid,2022-09-23T11:32:44Z
Success,N264220004016115,a0j8p000001y3eb,Paid,2022-09-23T11:32:44Z
Success,N264220004016171,a0j8p000001zRKY,Paid,2022-09-23T11:32:44Z
Success,N264220004016210,a0j8p000001zgD8,Paid,2022-09-23T11:32:44Z
Success,N264220004016182,a0j8p000001zWWZ,Paid,2022-09-23T11:32:44Z
Success,N264220004016236,a0j8p000001zTXW,Paid,2022-09-23T11:32:44Z
Success,N264220004015972,a0j8p000001ziry,Paid,2022-09-23T11:32:44Z
Success,N264220004015908,a0j8p000001zlZX,Paid,2022-09-23T11:32:44Z
Success,N264220004015909,a0j8p000001zmCb,Paid,2022-09-23T11:32:44Z
Success,N264220004016238,a0j8p000001zkxs,Paid,2022-09-23T11:32:44Z
Success,N264220004015862,a0j8p000001zoqj,Paid,2022-09-23T11:32:44Z
Success,N264220004015784,a0j8p000001zkYU,Paid,2022-09-23T11:32:44Z
