"ID","?CBS LOAN STATUS","ID","STATUS"
"0068p000003uCcOAAU","Disbursed","0068p000003uCcOAAU","Item Updated"
"0068p000003tEXpAAM","Disbursed","0068p000003tEXpAAM","Item Updated"
"0068p000003tehmAAA","Disbursed","0068p000003tehmAAA","Item Updated"
"0068p000003uJ1gAAE","Disbursed","0068p000003uJ1gAAE","Item Updated"
"0068p000003uaWjAAI","Disbursed","0068p000003uaWjAAI","Item Updated"
"0068p000003uIGJAA2","Disbursed","0068p000003uIGJAA2","Item Updated"
"0068p000003tEcXAAU","Disbursed","0068p000003tEcXAAU","Item Updated"
"0068p000003tEcrAAE","Disbursed","0068p000003tEcrAAE","Item Updated"
"0068p000003uIyIAAU","Disbursed","0068p000003uIyIAAU","Item Updated"
"0068p000003uFcCAAU","Disbursed","0068p000003uFcCAAU","Item Updated"
"0068p000003uD3GAAU","Disbursed","0068p000003uD3GAAU","Item Updated"
"0068p000003tEwEAAU","Disbursed","0068p000003tEwEAAU","Item Updated"
"0068p000003tEvaAAE","Disbursed","0068p000003tEvaAAE","Item Updated"
"0068p000003tEz5AAE","Disbursed","0068p000003tEz5AAE","Item Updated"
"0068p000003tpVMAAY","Disbursed","0068p000003tpVMAAY","Item Updated"
"0068p000003tpIYAAY","Disbursed","0068p000003tpIYAAY","Item Updated"
"0068p000003tpVbAAI","Disbursed","0068p000003tpVbAAI","Item Updated"
"0068p000003tpXwAAI","Disbursed","0068p000003tpXwAAI","Item Updated"
"0068p000003uBqnAAE","Disbursed","0068p000003uBqnAAE","Item Updated"
"0068p000003uBtoAAE","Disbursed","0068p000003uBtoAAE","Item Updated"
"0068p000003uBtjAAE","Disbursed","0068p000003uBtjAAE","Item Updated"
"0068p000003uCa3AAE","Disbursed","0068p000003uCa3AAE","Item Updated"
"0068p000003uBm1AAE","Disbursed","0068p000003uBm1AAE","Item Updated"
"0068p000003tEztAAE","Disbursed","0068p000003tEztAAE","Item Updated"
"0068p000003uCGwAAM","Disbursed","0068p000003uCGwAAM","Item Updated"
"0068p000003uCF6AAM","Disbursed","0068p000003uCF6AAM","Item Updated"
"0068p000003uCEgAAM","Disbursed","0068p000003uCEgAAM","Item Updated"
"0068p000003uaEwAAI","Disbursed","0068p000003uaEwAAI","Item Updated"
"0068p000003uR6rAAE","Disbursed","0068p000003uR6rAAE","Item Updated"
"0068p000003uRBIAA2","Disbursed","0068p000003uRBIAA2","Item Updated"
"0068p000003uRBSAA2","Disbursed","0068p000003uRBSAA2","Item Updated"
"0068p000003uR71AAE","Disbursed","0068p000003uR71AAE","Item Updated"
"0068p000003uQD0AAM","Disbursed","0068p000003uQD0AAM","Item Updated"
"0068p000003uQ85AAE","Disbursed","0068p000003uQ85AAE","Item Updated"
"0068p000003uP2xAAE","Disbursed","0068p000003uP2xAAE","Item Updated"
"0068p000003ueNnAAI","Disbursed","0068p000003ueNnAAI","Item Updated"
"0068p000003taYRAAY","Disbursed","0068p000003taYRAAY","Item Updated"
"0068p000003uBdgAAE","Disbursed","0068p000003uBdgAAE","Item Updated"
"0068p000003uS4UAAU","Disbursed","0068p000003uS4UAAU","Item Updated"
"0068p000003uOflAAE","Disbursed","0068p000003uOflAAE","Item Updated"
"0068p000003uOgeAAE","Disbursed","0068p000003uOgeAAE","Item Updated"
"0068p000003uOgZAAU","Disbursed","0068p000003uOgZAAU","Item Updated"
"0068p000003uOfqAAE","Disbursed","0068p000003uOfqAAE","Item Updated"
"0068p000003uDq6AAE","Disbursed","0068p000003uDq6AAE","Item Updated"
"0068p000003teBiAAI","Disbursed","0068p000003teBiAAI","Item Updated"
"0068p000003tjyaAAA","Disbursed","0068p000003tjyaAAA","Item Updated"
"0068p000003teCgAAI","Disbursed","0068p000003teCgAAI","Item Updated"
"0068p000003tjziAAA","Disbursed","0068p000003tjziAAA","Item Updated"
"0068p000003tvA3AAI","Disbursed","0068p000003tvA3AAI","Item Updated"
"0068p000003tldcAAA","Disbursed","0068p000003tldcAAA","Item Updated"
"0068p000003tlbNAAQ","Disbursed","0068p000003tlbNAAQ","Item Updated"
