ID,FT_STATUS,UTR_NUMBER,ID,REMARKS,FT_INNITIATED_DATE,STATUS
a0j8p000001msWbAAI,Success,N253220003969730,a0j8p000001msWbAAI,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001msmuAAA,Success,N253220003970056,a0j8p000001msmuAAA,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001o1BoAAI,Success,N253220003969898,a0j8p000001o1BoAAI,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001m5H1AAI,Success,N253220003969741,a0j8p000001m5H1AAI,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001mrTXAAY,Success,N253220003969729,a0j8p000001mrTXAAY,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001mAshAAE,Success,N253220003969883,a0j8p000001mAshAAE,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001mCkIAAU,Success,N253220003970075,a0j8p000001mCkIAAU,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001mCQNAA2,Success,N253220003969751,a0j8p000001mCQNAA2,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001mA9SAAU,Success,N253220003969750,a0j8p000001mA9SAAU,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001m9mPAAQ,Success,N253220003969884,a0j8p000001m9mPAAQ,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001mqn3AAA,Success,N253220003970109,a0j8p000001mqn3AAA,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001n0s2AAA,Success,N253220003969983,a0j8p000001n0s2AAA,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001n6zDAAQ,Success,N253220003969837,a0j8p000001n6zDAAQ,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001mRS7AAM,Success,N253220003969845,a0j8p000001mRS7AAM,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001mtGJAAY,Success,N253220003970129,a0j8p000001mtGJAAY,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001mPvUAAU,Success,N253220003969848,a0j8p000001mPvUAAU,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001n4QgAAI,Success,N253220003969880,a0j8p000001n4QgAAI,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001n213AAA,Success,N253220003969701,a0j8p000001n213AAA,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001mrqrAAA,Success,N253220003969794,a0j8p000001mrqrAAA,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001nzwVAAQ,Success,N253220003969856,a0j8p000001nzwVAAQ,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001muBHAAY,Success,N253220003970031,a0j8p000001muBHAAY,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001nL0MAAU,Success,N253220003970083,a0j8p000001nL0MAAU,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001nHEVAA2,Success,N253220003969940,a0j8p000001nHEVAA2,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001nKkHAAU,Success,N253220003969966,a0j8p000001nKkHAAU,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001n0gvAAA,Success,N253220003970028,a0j8p000001n0gvAAA,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001myEYAAY,Success,N253220003970030,a0j8p000001myEYAAY,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001n20jAAA,Success,N253220003969890,a0j8p000001n20jAAA,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001lrsvAAA,Success,N253220003969740,a0j8p000001lrsvAAA,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001lKAGAA2,Success,N253220003970018,a0j8p000001lKAGAA2,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001lSWZAA2,Success,N253220003969737,a0j8p000001lSWZAA2,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001mwYLAAY,Success,N253220003969842,a0j8p000001mwYLAAY,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001mz1eAAA,Success,N253220003970076,a0j8p000001mz1eAAA,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001nwvOAAQ,Success,N253220003969896,a0j8p000001nwvOAAQ,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001nKxMAAU,Success,N253220003969963,a0j8p000001nKxMAAU,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001npcrAAA,Success,N253220003969828,a0j8p000001npcrAAA,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001lH7UAAU,Success,N253220003969725,a0j8p000001lH7UAAU,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001nTQkAAM,Success,N253220003969776,a0j8p000001nTQkAAM,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001n4guAAA,Success,N253220003969761,a0j8p000001n4guAAA,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001mSU3AAM,Success,N253220003969775,a0j8p000001mSU3AAM,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001nIEhAAM,Success,N253220003970032,a0j8p000001nIEhAAM,Paid,2022-09-12T06:35:28Z,Item Updated
