"ID","CBS LOAN STATUS","ID","STATUS"
"0068p000003tpdxAAA","Disbursed","0068p000003tpdxAAA","Item Updated"
"0068p000003tpeHAAQ","Disbursed","0068p000003tpeHAAQ","Item Updated"
"0068p000003tpeqAAA","Disbursed","0068p000003tpeqAAA","Item Updated"
"0068p000003tpfZAAQ","Disbursed","0068p000003tpfZAAQ","Item Updated"
"0068p000003tqbwAAA","Disbursed","0068p000003tqbwAAA","Item Updated"
"0068p000003tqcLAAQ","Disbursed","0068p000003tqcLAAQ","Item Updated"
"0068p000003tvLqAAI","Disbursed","0068p000003tvLqAAI","Item Updated"
"0068p000003tvQ2AAI","Disbursed","0068p000003tvQ2AAI","Item Updated"
"0068p000003taCPAAY","Disbursed","0068p000003taCPAAY","Item Updated"
"0068p000003tXusAAE","Disbursed","0068p000003tXusAAE","Item Updated"
"0068p000003ti4eAAA","Disbursed","0068p000003ti4eAAA","Item Updated"
"0068p000003teJsAAI","Disbursed","0068p000003teJsAAI","Item Updated"
"0068p000003tdukAAA","Disbursed","0068p000003tdukAAA","Item Updated"
"0068p000003topAAAQ","Disbursed","0068p000003topAAAQ","Item Updated"
"0068p000003sOxmAAE","Disbursed","0068p000003sOxmAAE","Item Updated"
"0068p000003st3DAAQ","Disbursed","0068p000003st3DAAQ","Item Updated"
"0068p000003tBK6AAM","Disbursed","0068p000003tBK6AAM","Item Updated"
"0068p000003tFJdAAM","Disbursed","0068p000003tFJdAAM","Item Updated"
"0068p000003tq9kAAA","Disbursed","0068p000003tq9kAAA","Item Updated"
"0068p000003tqFIAAY","Disbursed","0068p000003tqFIAAY","Item Updated"
"0068p000003tqaKAAQ","Disbursed","0068p000003tqaKAAQ","Item Updated"
"0068p000003tqaPAAQ","Disbursed","0068p000003tqaPAAQ","Item Updated"
"0068p000003tqaUAAQ","Disbursed","0068p000003tqaUAAQ","Item Updated"
"0068p000003tX8AAAU","Disbursed","0068p000003tX8AAAU","Item Updated"
