"ID","?CBS LOAN STATUS","ACTUAL DISBURSEMENT DATE","OPPORTUNITY STATUS","ID","APPLICATION STATUS","STATUS"
"0068p000003YJhhAAG","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003YJhhAAG","Disbursed","Item Updated"
"0068p000003jUY3AAM","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003jUY3AAM","Disbursed","Item Updated"
"0068p000003tsnkAAA","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003tsnkAAA","Disbursed","Item Updated"
"0068p000003tu7fAAA","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003tu7fAAA","Disbursed","Item Updated"
"0068p000003tuuoAAA","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003tuuoAAA","Disbursed","Item Updated"
"0068p000003qQBUAA2","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003qQBUAA2","Disbursed","Item Updated"
"0068p000003qHhlAAE","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003qHhlAAE","Disbursed","Item Updated"
"0068p000003r49XAAQ","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003r49XAAQ","Disbursed","Item Updated"
"0068p000003rf5DAAQ","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003rf5DAAQ","Disbursed","Item Updated"
"0068p000003pzq6AAA","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003pzq6AAA","Disbursed","Item Updated"
"0068p000003pylqAAA","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003pylqAAA","Disbursed","Item Updated"
"0068p000003tFwCAAU","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003tFwCAAU","Disbursed","Item Updated"
"0068p000003or6JAAQ","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003or6JAAQ","Disbursed","Item Updated"
"0068p000003tf48AAA","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003tf48AAA","Disbursed","Item Updated"
"0068p000003te4yAAA","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003te4yAAA","Disbursed","Item Updated"
"0068p000003uO3ZAAU","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003uO3ZAAU","Disbursed","Item Updated"
"0068p000003uH8mAAE","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003uH8mAAE","Disbursed","Item Updated"
"0068p000003sDk7AAE","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003sDk7AAE","Disbursed","Item Updated"
"0068p000003sDtwAAE","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003sDtwAAE","Disbursed","Item Updated"
"0068p000003tUE1AAM","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003tUE1AAM","Disbursed","Item Updated"
"0068p000003tV1IAAU","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003tV1IAAU","Disbursed","Item Updated"
"0068p000003rT8YAAU","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003rT8YAAU","Disbursed","Item Updated"
"0068p000003sDY7AAM","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003sDY7AAM","Disbursed","Item Updated"
"0068p000003tmKTAAY","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003tmKTAAY","Disbursed","Item Updated"
"0068p000003stmtAAA","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003stmtAAA","Disbursed","Item Updated"
"0068p000003hVLQAA2","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003hVLQAA2","Disbursed","Item Updated"
"0068p000003hVLPAA2","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003hVLPAA2","Disbursed","Item Updated"
"0068p000003qeZRAAY","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003qeZRAAY","Disbursed","Item Updated"
"0068p000003o9qvAAA","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003o9qvAAA","Disbursed","Item Updated"
"0068p000003o91nAAA","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003o91nAAA","Disbursed","Item Updated"
"0068p000003p5KmAAI","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003p5KmAAI","Disbursed","Item Updated"
"0068p000003plPMAAY","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003plPMAAY","Disbursed","Item Updated"
"0068p000003YJhkAAG","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003YJhkAAG","Disbursed","Item Updated"
"0068p000003sDMIAA2","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003sDMIAA2","Disbursed","Item Updated"
"0068p000003s01iAAA","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003s01iAAA","Disbursed","Item Updated"
"0068p000003o5hgAAA","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003o5hgAAA","Disbursed","Item Updated"
"0068p000003sBd5AAE","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003sBd5AAE","Disbursed","Item Updated"
"0068p000003riY8AAI","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003riY8AAI","Disbursed","Item Updated"
"0068p000003ss7DAAQ","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003ss7DAAQ","Disbursed","Item Updated"
"0068p000003syrBAAQ","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003syrBAAQ","Disbursed","Item Updated"
"0068p000003tWeHAAU","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003tWeHAAU","Disbursed","Item Updated"
"0068p000003sDuBAAU","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003sDuBAAU","Disbursed","Item Updated"
"0068p000003muNIAAY","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003muNIAAY","Disbursed","Item Updated"
"0068p000003r54PAAQ","Disbursed","2022-09-22T12:58:33Z","Disbursed","0068p000003r54PAAQ","Disbursed","Item Updated"
